  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1    8    0   80.00  80.00     4      5    5      0      6     6   100.00
   2   40    0   90.32  90.32    28     31   31      0     37    37   100.00
   3   31    0   95.24 100.00    20     21   20      0     26    26   100.00
   4   35    0   90.48  95.00    19     21   20      0     32    32   100.00
   5   26    0   95.65  95.65    22     23   23      0     24    24   100.00
   6   17    0   83.33  76.92    10     12   13      1     16    16   100.00
   7   30    0   72.22  81.25    13     18   16      0     22    22   100.00
   8    6    0  100.00 100.00     5      5    5      0      5     5   100.00
   9    7    0  100.00 100.00     4      4    4      0      5     5   100.00
  10   36    1    0.00   0.00     0      0    0      0      0     0     0.00
  11   25    0   77.27  73.91    17     22   23      1     21    21   100.00
  12   16    0  100.00  92.31    12     12   13      0     14    14   100.00
  13   17    0  100.00 100.00    16     16   16      0     15    15   100.00
  14   28    0  100.00 100.00    16     16   16      0     26    26   100.00
  15   42    0   66.67  75.00    18     27   24      2     37    37   100.00
  16   15    0  100.00 100.00    11     11   11      0     13    13   100.00
  17   13    0  100.00 100.00    10     10   10      0     11    11   100.00
  18    8    0  100.00 100.00     5      5    5      0      7     7   100.00
  19   23    0   87.50  82.35    14     16   17      0     21    21   100.00
  20   33    0   82.61  86.36    19     23   22      1     28    28   100.00
  21    9    0  100.00 100.00     6      6    6      0      8     8   100.00
  22   37    0  100.00 100.00    28     28   28      0     33    33   100.00
  23   28    0   80.00  76.19    16     20   21      1     23    23   100.00
  24   24    0   66.67  76.92    10     15   13      0     18    18   100.00
  25   26    0   84.21  94.12    16     19   17      0     20    20   100.00
  26   13    0   84.62  84.62    11     13   13      0     12    12   100.00
  27   28    0  100.00 100.00    22     22   22      0     25    25   100.00
  28   22    0   80.00  80.00    12     15   15      0     21    21   100.00
  29   12    0  100.00 100.00     8      8    8      0     10    10   100.00
  30    4    0  100.00 100.00     3      3    3      0      3     3   100.00
  31   22    0   94.44 100.00    17     18   17      0     18    18   100.00
  32   47    1    0.00   0.00     0      0    0      0      0     0     0.00
  33    5    0  100.00 100.00     4      4    4      0      4     4   100.00
  34   24    0   80.00  88.89    16     20   18      0     22    22   100.00
  35   28    0   92.59 100.00    25     27   25      0     24    24   100.00
  36   24    0   95.65  95.65    22     23   23      0     20    20   100.00
  37   17    0  100.00 100.00    11     11   11      0     15    15   100.00
  38   17    0  100.00 100.00    13     13   13      0     14    14   100.00
  39   38    0   92.00  92.00    23     25   25      2     32    32   100.00
  40   21    0  100.00 100.00    15     15   15      0     19    19   100.00
  41   33    0   96.77 100.00    30     31   30      0     30    30   100.00
  42   15    0  100.00 100.00     9      9    9      0     13    13   100.00
  43   34    0   96.77  93.75    30     31   32      1     31    31   100.00
  44   12    0  100.00 100.00     7      7    7      0     11    11   100.00
  45   12    0  100.00 100.00     8      8    8      0      8     8   100.00
  46   36    0   92.00  92.00    23     25   25      1     32    32   100.00
  47   30    0   95.83  95.83    23     24   24      0     28    28   100.00
  48   31    0   92.00  88.46    23     25   26      1     26    26   100.00
